"stand.id" "region" "number.trees"
"147" 4460 "w" 57
"148" 1726 "u" 53
"149" 7357 "d" 46
"150" 1035 "j" 49
"151" 8516 "x" 48
"152" 6054 "o" 47
"153" 5487 "b" 46
"154" 3238 "d" 48
"155" 4462 "o" 45
"156" 4927 "h" 42
"157" 1781 "u" 54
"158" 5214 "n" 58
"159" 741 "r" 51
"160" 2734 "g" 52
"161" 2093 "p" 51
"162" 2803 "v" 50
"163" 8806 "w" 58
"164" 4390 "e" 52
"165" 7672 "r" 53
"166" 8661 "m" 57
"167" 4063 "g" 53
"168" 628 "o" 45
"169" 3299 "b" 47
"170" 7115 "h" 42
"171" 3319 "o" 45
"172" 6197 "x" 46
"173" 8262 "s" 47
"174" 8414 "b" 47
"175" 3846 "l" 47
"176" 3739 "i" 58
"177" 8797 "w" 57
"178" 6330 "h" 42
"179" 7279 "d" 46
"180" 5945 "b" 47
"181" 8869 "o" 46
"182" 2885 "s" 48
"183" 1878 "w" 56
"184" 8703 "q" 57
"185" 4941 "q" 58
"186" 8609 "u" 54
"187" 1857 "i" 61
"188" 7440 "g" 52
"189" 7109 "f" 44
"190" 9259 "b" 47
"191" 5373 "k" 51
"192" 6982 "o" 45
"193" 3815 "w" 58
"194" 9944 "u" 54
"195" 9094 "s" 47
"196" 2778 "d" 47
"197" 5790 "g" 53
"198" 1082 "f" 43
"199" 8239 "w" 56
"200" 3117 "s" 49
"201" 9836 "b" 48
"202" 2622 "g" 55
"203" 2143 "j" 50
"204" 5064 "g" 54
"205" 2635 "c" 55
"206" 1775 "m" 56
"207" 5079 "g" 54
"208" 5512 "n" 59
"209" 1265 "g" 53
"210" 2511 "g" 53
"211" 7029 "s" 49
"212" 9412 "c" 58
"213" 981 "i" 61
"214" 7470 "u" 55
"215" 9277 "l" 46
"216" 8011 "o" 46
"217" 3017 "w" 58
"218" 6355 "c" 56
"219" 9326 "x" 48
"220" 9329 "a" 52
"221" 3325 "x" 47
"222" 2567 "i" 59
"223" 1618 "p" 53
"224" 3150 "u" 52
"225" 4987 "m" 56
"226" 9032 "s" 47
"227" 4995 "k" 53
"228" 2988 "e" 52
"229" 455 "t" 47
"230" 4083 "e" 52
"231" 8344 "c" 56
"232" 3393 "a" 52
"233" 1284 "n" 58
"234" 3658 "e" 53
"235" 6167 "m" 55
"236" 3810 "s" 47
"237" 6734 "e" 51
"238" 6731 "b" 46
"239" 5417 "v" 50
"240" 4194 "l" 46
"241" 4419 "m" 55
"242" 2991 "f" 42
"243" 5644 "u" 54
"244" 8883 "r" 51
"245" 1392 "k" 54
"246" 4049 "q" 60
"247" 9989 "w" 56
"248" 4182 "r" 52
"249" 1294 "t" 47
"250" 4487 "r" 49
"251" 9194 "l" 48
"252" 7429 "c" 57
"253" 9095 "q" 56
"254" 4588 "v" 53
"255" 5883 "d" 45
"256" 4727 "j" 50
"257" 1061 "a" 52
"258" 2414 "e" 51
"259" 4857 "l" 48
"260" 3633 "w" 57
"261" 9104 "r" 52
"262" 5104 "b" 47
"263" 3089 "k" 54
"264" 2707 "i" 58
"265" 7668 "d" 48
"266" 6839 "g" 53
"267" 1607 "v" 51
"268" 9833 "q" 58
"269" 7345 "x" 49
"270" 6038 "m" 55
"271" 1650 "c" 56
"272" 606 "h" 44
"273" 9744 "i" 57
"274" 3713 "v" 52
"275" 1647 "u" 52
"276" 2905 "k" 52
"277" 1870 "o" 47
"278" 2501 "c" 55
"279" 1762 "w" 56
"280" 4640 "q" 58
"281" 7492 "u" 54
"282" 271 "h" 42
"283" 5125 "w" 58
"284" 8555 "h" 43
"285" 3625 "m" 56
"286" 466 "x" 48
"287" 1347 "q" 58
"288" 3123 "w" 57
"289" 1504 "q" 60
"290" 1285 "p" 53
"291" 2149 "d" 48
"292" 2198 "i" 59
"293" 1276 "v" 52
"294" 9529 "w" 58
"295" 3174 "h" 43
"296" 9967 "o" 44
"297" 6613 "u" 51
"298" 963 "x" 48
"299" 1154 "i" 59
"300" 490 "u" 52
"301" 9014 "v" 50
"302" 6535 "a" 53
"303" 920 "l" 46
"304" 4777 "w" 58
"305" 4476 "m" 56
"306" 3638 "e" 51
"307" 9608 "w" 56
"308" 1710 "m" 56
"309" 7884 "o" 47
"310" 664 "f" 43
"311" 3881 "b" 47
"312" 1368 "x" 50
"313" 1873 "i" 60
"314" 8151 "g" 54
"315" 6974 "d" 46
"316" 2588 "m" 56
"317" 4794 "v" 51
"318" 805 "v" 51
"319" 3427 "u" 53
"320" 9383 "q" 60
"321" 6048 "u" 54
"322" 6433 "u" 54
"323" 3025 "h" 43
"324" 3926 "l" 44
"325" 9639 "j" 51
"326" 8273 "f" 45
"327" 9225 "p" 52
"328" 9954 "d" 46
"329" 7566 "h" 41
"330" 2591 "w" 58
"331" 7371 "h" 42
"332" 9537 "s" 46
"333" 2839 "h" 43
"334" 3861 "p" 53
"335" 7851 "u" 51
"336" 746 "v" 50
"337" 3515 "h" 42
"338" 4277 "o" 46
"339" 1515 "u" 51
"340" 5625 "h" 40
"341" 9372 "v" 50
"342" 9558 "a" 50
"343" 1705 "w" 56
"344" 5236 "i" 58
"345" 3711 "j" 51
"346" 6529 "d" 47
"347" 2600 "u" 53
"348" 4530 "v" 50
"349" 1659 "w" 56
"350" 3564 "l" 47
"351" 7001 "o" 45
"352" 4691 "w" 57
"353" 616 "x" 47
"354" 7569 "g" 53
"355" 4036 "v" 51
"356" 9462 "i" 58
"357" 2729 "t" 47
"358" 8177 "m" 56
"359" 793 "e" 52
"360" 8547 "c" 54
"361" 4550 "g" 54
"362" 1052 "e" 52
"363" 3213 "k" 50
"364" 8071 "h" 41
"365" 2668 "s" 49
"366" 5657 "v" 50
"367" 8062 "i" 59
"368" 686 "u" 52
"369" 6770 "g" 53
"370" 9763 "h" 40
"371" 4468 "e" 52
"372" 4208 "i" 59
"373" 5413 "e" 50
"374" 8939 "q" 59
"375" 2219 "t" 47
"376" 2135 "p" 52
"377" 4045 "s" 49
"378" 3210 "u" 54
"379" 8322 "d" 47
"380" 9658 "h" 43
"381" 4746 "v" 52
"382" 4134 "l" 46
"383" 5428 "v" 52
"384" 6311 "u" 53
"385" 9410 "d" 46
"386" 2233 "p" 50
"387" 2316 "g" 52
"388" 7660 "v" 52
"389" 7995 "u" 53
"390" 1091 "d" 46
"391" 9258 "d" 49
"392" 1416 "o" 44
"393" 1380 "r" 52
"394" 8889 "i" 59
"395" 4871 "f" 43
"396" 1488 "e" 52
"397" 3346 "d" 48
"398" 6337 "l" 47
"399" 2994 "f" 42
"400" 3376 "u" 53
"401" 1420 "r" 52
"402" 9880 "g" 55
"403" 1777 "b" 45
"404" 9160 "s" 48
"405" 8616 "t" 47
"406" 9055 "r" 51
"407" 6944 "m" 56
"408" 3553 "u" 53
"409" 9720 "h" 41
"410" 107 "o" 46
"411" 9018 "d" 46
"412" 9920 "m" 57
"413" 9682 "a" 51
"414" 7168 "b" 44
"415" 7601 "j" 49
"416" 6766 "u" 55
"417" 4561 "c" 56
"418" 4741 "f" 42
"419" 2952 "i" 58
"420" 6659 "q" 59
"421" 7883 "a" 52
"422" 4165 "e" 50
"423" 4931 "e" 53
"424" 6350 "m" 55
"425" 1371 "d" 46
"426" 9832 "m" 54
"427" 3885 "h" 43
"428" 817 "d" 47
"429" 8927 "o" 46
"430" 8025 "g" 53
"431" 8417 "n" 59
"432" 8954 "i" 59
"433" 694 "i" 62
"434" 3624 "c" 55
"435" 5146 "m" 57
"436" 1005 "n" 58
"437" 9736 "e" 53
"438" 7074 "b" 45
"439" 499 "c" 54
"440" 4611 "s" 48
"441" 8801 "i" 59
"442" 397 "l" 46
"443" 2810 "w" 57
"444" 4787 "d" 47
"445" 5827 "j" 48
"446" 2525 "h" 41
"447" 4043 "q" 58
"448" 3502 "q" 58
"449" 9003 "j" 49
"450" 1182 "u" 53
"451" 669 "a" 53
"452" 9209 "u" 52
"453" 4226 "u" 54
"454" 3535 "m" 56
"455" 1348 "g" 54
"456" 518 "m" 56
"457" 6279 "b" 46
"458" 5518 "b" 46
"459" 9419 "f" 44
"460" 5761 "q" 59
"461" 620 "h" 42
"462" 1547 "k" 53
"463" 4535 "e" 52
"464" 19 "h" 43
"465" 4210 "m" 56
"466" 2488 "w" 57
"467" 8947 "u" 53
"468" 6825 "w" 57
"469" 1555 "v" 51
"470" 4539 "f" 42
"471" 6579 "h" 43
"472" 4392 "u" 53
"473" 9101 "w" 56
"474" 6789 "a" 52
"475" 3784 "i" 59
"476" 1122 "a" 51
"477" 2287 "e" 52
"478" 8225 "n" 58
"479" 4152 "v" 54
"480" 9583 "i" 60
"481" 6588 "r" 50
"482" 7238 "w" 57
"483" 1480 "l" 45
"484" 8085 "w" 56
"485" 9010 "t" 47
"486" 5599 "d" 47
"487" 4779 "x" 48
"488" 1806 "r" 50
"489" 18 "e" 51
"490" 8347 "h" 43
"491" 9708 "w" 57
"492" 217 "u" 52
"493" 8930 "q" 58
"494" 2786 "m" 55
"495" 1563 "x" 50
"496" 9981 "h" 42
"497" 4368 "h" 43
"498" 4125 "s" 48
"499" 4913 "a" 53
"500" 8041 "g" 54
"501" 525 "w" 58
"502" 5265 "s" 47
"503" 6538 "a" 52
"504" 6250 "i" 59
"505" 6300 "g" 53
"506" 4484 "d" 47
"507" 9205 "b" 45
"508" 3819 "b" 46
"509" 8064 "o" 46
"510" 7182 "s" 49
"511" 5055 "u" 52
"512" 8295 "e" 52
"513" 4432 "x" 50
"514" 78 "o" 45
"515" 6904 "v" 53
"516" 6797 "e" 53
"517" 1778 "x" 49
"518" 6127 "f" 44
"519" 5140 "e" 51
"520" 3180 "v" 50
"521" 9680 "x" 50
"522" 7860 "p" 54
"523" 6720 "i" 59
"524" 3304 "g" 54
"525" 1217 "e" 52
"526" 3678 "b" 46
"527" 8794 "x" 49
"528" 7620 "g" 52
"529" 7187 "c" 55
"530" 9067 "i" 60
"531" 9413 "u" 54
"532" 5743 "o" 46
"533" 279 "w" 56
"534" 3186 "v" 51
"535" 2629 "b" 45
"536" 1110 "f" 43
"537" 410 "n" 58
"538" 3505 "l" 45
"539" 3188 "k" 52
"540" 1643 "o" 45
"541" 5882 "l" 46
"542" 3764 "u" 52
"543" 9039 "k" 52
"544" 6179 "u" 55
"545" 3109 "g" 54
"546" 1865 "r" 51
"547" 9611 "p" 51
"548" 9415 "u" 54
"549" 3585 "q" 59
"550" 5312 "u" 52
"551" 6925 "h" 42
"552" 8229 "s" 47
"553" 5406 "b" 45
"554" 105 "k" 51
"555" 8562 "q" 59
"556" 9822 "i" 59
"557" 3613 "r" 50
"558" 889 "q" 59
"559" 469 "i" 60
"560" 7753 "g" 53
"561" 7829 "s" 49
"562" 6181 "d" 47
"563" 1254 "c" 55
"564" 3226 "t" 47
"565" 6902 "o" 45
"566" 8561 "v" 50
"567" 6568 "d" 47
"568" 2279 "v" 52
"569" 6076 "h" 41
"570" 2648 "u" 53
"571" 9031 "c" 57
"572" 1494 "x" 48
"573" 3945 "e" 52
"574" 2376 "a" 52
"575" 890 "s" 50
"576" 7802 "o" 46
"577" 4951 "b" 47
"578" 6293 "q" 59
"579" 3847 "p" 54
"580" 7939 "d" 47
"581" 6946 "x" 48
"582" 3280 "g" 53
"583" 8938 "o" 44
"584" 6090 "i" 59
"585" 333 "h" 43
"586" 5616 "j" 49
"587" 3910 "f" 44
"588" 724 "d" 49
"589" 9984 "x" 50
"590" 9057 "x" 51
"591" 6670 "p" 53
"592" 5208 "c" 56
"593" 2286 "b" 46
"594" 7320 "v" 50
"595" 6133 "v" 50
"596" 7809 "g" 53
"597" 6099 "i" 60
"598" 4512 "s" 47
"599" 4655 "w" 58
"600" 3572 "r" 51
"601" 4235 "e" 52
"602" 7654 "u" 54
"603" 8729 "w" 58
"604" 1386 "n" 58
"605" 7046 "k" 51
"606" 9167 "x" 49
"607" 9158 "q" 60
"608" 3294 "p" 52
"609" 3700 "u" 53
"610" 8931 "g" 54
"611" 1002 "a" 51
"612" 8777 "h" 44
"613" 3250 "q" 57
"614" 5004 "m" 58
"615" 5058 "i" 59
"616" 6708 "j" 50
"617" 3808 "b" 45
"618" 1434 "v" 53
"619" 3193 "f" 44
"620" 5879 "l" 47
"621" 539 "m" 58
"622" 7988 "d" 47
"623" 1995 "t" 47
"624" 7204 "g" 53
"625" 9893 "w" 56
"626" 3046 "q" 57
"627" 5822 "i" 60
"628" 2400 "j" 48
"629" 5951 "a" 50
"630" 4552 "d" 48
"631" 8791 "p" 51
"632" 8034 "q" 59
"633" 3475 "a" 51
"634" 2944 "p" 53
"635" 7761 "s" 47
"636" 4232 "r" 52
"637" 2958 "p" 52
"638" 916 "v" 51
"639" 608 "d" 47
"640" 6455 "w" 59
"641" 6253 "i" 59
"642" 8466 "b" 48
"643" 2824 "e" 52
"644" 9398 "d" 46
"645" 1890 "e" 52
"646" 7413 "f" 44
"647" 2102 "l" 46
"648" 288 "r" 50
"649" 9634 "o" 46
"650" 6407 "g" 54
"651" 8809 "w" 58
"652" 6319 "u" 54
"653" 7882 "w" 56
"654" 3383 "l" 47
"655" 3668 "v" 51
"656" 5306 "g" 54
"657" 9426 "l" 44
"658" 1811 "e" 51
"659" 5494 "o" 46
"660" 7020 "q" 58
"661" 8101 "n" 58
"662" 3473 "a" 52
"663" 7460 "o" 44
"664" 545 "j" 50
"665" 5821 "g" 54
"666" 3330 "o" 47
"667" 5488 "x" 48
"668" 8529 "o" 47
"669" 1862 "q" 60
"670" 3444 "c" 55
"671" 6265 "i" 59
"672" 7167 "i" 58
"673" 4872 "v" 52
"674" 7724 "h" 43
"675" 4916 "j" 50
"676" 4679 "w" 58
"677" 3916 "s" 47
"678" 3378 "d" 48
"679" 1151 "l" 48
"680" 2780 "r" 52
"681" 2579 "g" 54
"682" 7376 "s" 48
"683" 7252 "k" 52
"684" 1340 "v" 53
"685" 4803 "h" 43
"686" 5564 "q" 59
"687" 4712 "x" 49
"688" 3596 "p" 53
"689" 3968 "o" 45
"690" 110 "i" 61
"691" 8559 "a" 52
"692" 740 "i" 59
"693" 4723 "l" 47
"694" 7634 "i" 60
"695" 5569 "f" 44
"696" 3947 "g" 53
"697" 5204 "g" 53
"698" 7341 "v" 51
"699" 1561 "w" 58
"700" 9027 "i" 60
"701" 4404 "i" 58
"702" 8646 "m" 57
"703" 8377 "f" 43
"704" 6981 "n" 58
"705" 6290 "g" 53
"706" 6024 "g" 55
"707" 681 "g" 53
"708" 3937 "q" 57
"709" 4933 "g" 54
"710" 8759 "e" 52
"711" 6617 "v" 51
"712" 6730 "e" 50
"713" 4367 "s" 47
"714" 1118 "i" 59
"715" 7272 "k" 50
"716" 4069 "d" 48
"717" 4006 "m" 55
"718" 256 "p" 52
"719" 1361 "s" 48
"720" 3923 "h" 42
"721" 7120 "u" 54
"722" 45 "d" 46
"723" 5601 "v" 50
"724" 8402 "s" 48
"725" 6555 "r" 51
"726" 2436 "i" 58
"727" 7893 "n" 58
"728" 3094 "a" 52
"729" 5362 "m" 55
"730" 4013 "w" 54
"731" 479 "i" 59
"732" 6765 "v" 51
"733" 5081 "a" 51
"734" 6962 "g" 54
"735" 471 "d" 48
"736" 6625 "i" 60
"737" 2758 "p" 52
"738" 2626 "g" 52
"739" 9985 "r" 52
"740" 801 "i" 59
"741" 396 "e" 53
"742" 3229 "i" 61
"743" 5021 "k" 53
"744" 5642 "d" 48
"745" 2512 "l" 47
"746" 1900 "p" 51
"747" 3532 "t" 47
"748" 4373 "o" 44
"749" 7731 "a" 52
"750" 1124 "a" 51
"751" 6252 "d" 46
"752" 4594 "g" 53
"753" 9770 "r" 52
"754" 5098 "q" 58
"755" 1189 "m" 55
"756" 4087 "q" 57
"757" 9484 "g" 53
"758" 4020 "n" 60
"759" 2081 "o" 46
"760" 8882 "w" 57
"761" 4144 "q" 59
"762" 7181 "q" 57
"763" 1462 "l" 48
"764" 8007 "u" 53
"765" 1904 "g" 53
"766" 1644 "l" 47
"767" 1523 "q" 59
"768" 5220 "i" 58
"769" 6714 "c" 54
"770" 8086 "b" 46
"771" 6539 "o" 44
"772" 4407 "c" 56
"773" 7570 "g" 52
"774" 154 "p" 53
"775" 9191 "e" 50
"776" 5857 "q" 59
"777" 3953 "p" 52
"778" 262 "l" 46
"779" 6948 "j" 51
"780" 1924 "r" 53
"781" 9215 "t" 48
"782" 8364 "d" 46
"783" 9434 "p" 52
"784" 6738 "f" 43
"785" 4355 "n" 60
"786" 7949 "k" 54
"787" 1525 "c" 57
"788" 5717 "v" 52
"789" 2693 "l" 45
"790" 4202 "u" 53
"791" 421 "l" 46
"792" 1637 "k" 54
"793" 534 "w" 57
"794" 8696 "u" 51
"795" 3156 "q" 58
"796" 4768 "o" 46
"797" 5755 "o" 46
"798" 2184 "v" 51
"799" 9952 "x" 49
"800" 7421 "u" 52
"801" 3205 "k" 54
"802" 7900 "g" 54
"803" 317 "t" 47
"804" 9391 "t" 47
"805" 6853 "w" 55
"806" 2513 "k" 50
"807" 6226 "f" 44
"808" 3199 "c" 57
"809" 8706 "h" 40
"810" 3113 "p" 53
"811" 292 "w" 56
"812" 9388 "w" 54
"813" 3557 "u" 53
"814" 9542 "u" 52
"815" 8819 "p" 53
"816" 3525 "e" 52
"817" 5018 "e" 53
"818" 8498 "u" 53
"819" 8419 "d" 48
"820" 2229 "u" 53
"821" 6583 "s" 47
"822" 3203 "x" 48
"823" 5088 "v" 50
"824" 6819 "l" 47
"825" 7522 "g" 54
"826" 7980 "m" 54
"827" 330 "r" 50
"828" 2019 "b" 45
"829" 3366 "w" 58
"830" 2804 "o" 44
"831" 6675 "q" 56
"832" 6416 "p" 52
"833" 9248 "u" 53
"834" 7752 "l" 46
"835" 7137 "k" 54
"836" 3674 "t" 47
"837" 5286 "b" 47
"838" 700 "s" 48
"839" 7999 "j" 49
"840" 8761 "e" 52
"841" 4631 "r" 50
"842" 8467 "m" 56
"843" 1232 "h" 41
"844" 2187 "t" 46
"845" 9751 "u" 53
"846" 4341 "a" 51
"847" 3982 "r" 51
"848" 360 "n" 59
"849" 5897 "s" 46
"850" 6549 "i" 59
"851" 3218 "e" 51
"852" 9835 "q" 60
"853" 6798 "l" 45
"854" 465 "q" 59
"855" 10000 "d" 47
"856" 1992 "a" 52
"857" 331 "f" 42
"858" 2384 "o" 46
"859" 6587 "u" 54
"860" 2267 "e" 52
"861" 2148 "m" 55
"862" 193 "v" 52
"863" 2419 "n" 60
"864" 6321 "o" 46
"865" 9198 "r" 54
"866" 574 "j" 50
"867" 9741 "d" 46
"868" 9696 "n" 58
"869" 5763 "t" 48
"870" 6606 "r" 51
"871" 701 "p" 52
"872" 3848 "q" 58
"873" 9607 "d" 47
"874" 7428 "u" 53
"875" 2043 "s" 48
"876" 4469 "t" 47
"877" 104 "t" 47
"878" 2360 "p" 54
"879" 4147 "o" 45
"880" 6759 "s" 47
"881" 9035 "m" 55
"882" 3030 "x" 49
"883" 8615 "a" 52
"884" 8770 "d" 47
"885" 8198 "m" 56
"886" 4492 "l" 46
"887" 7154 "b" 47
"888" 7319 "g" 54
"889" 6176 "v" 52
"890" 5297 "i" 60
"891" 3013 "d" 45
"892" 12 "m" 56
"893" 600 "b" 47
"894" 783 "j" 49
"895" 120 "g" 53
"896" 3057 "s" 48
"897" 1086 "s" 49
"898" 5404 "o" 45
"899" 340 "w" 56
"900" 88 "m" 53
"901" 1471 "a" 52
"902" 9228 "m" 56
"903" 6977 "a" 52
"904" 2482 "v" 51
"905" 1712 "p" 52
"906" 2054 "s" 46
"907" 564 "d" 47
"908" 9337 "a" 52
"909" 1505 "c" 55
"910" 9691 "u" 53
"911" 390 "e" 53
"912" 4749 "w" 56
"913" 7173 "d" 44
"914" 6314 "t" 47
"915" 605 "o" 45
"916" 164 "i" 58
"917" 4017 "p" 53
"918" 1432 "h" 41
"919" 9655 "v" 53
"920" 6393 "l" 47
"921" 8038 "s" 47
"922" 2954 "i" 60
"923" 8814 "n" 60
"924" 8940 "q" 59
"925" 356 "n" 58
"926" 8110 "m" 55
"927" 7463 "o" 45
"928" 6572 "i" 59
"929" 9879 "f" 44
"930" 4554 "q" 61
"931" 3886 "q" 58
"932" 9863 "w" 57
"933" 8398 "c" 57
"934" 2178 "i" 60
"935" 2465 "f" 42
"936" 6663 "d" 49
"937" 6813 "j" 51
"938" 8434 "p" 53
"939" 9761 "o" 45
"940" 7799 "m" 57
"941" 2828 "v" 51
"942" 1885 "t" 49
"943" 8341 "v" 52
"944" 478 "o" 45
"945" 3724 "d" 47
"946" 4133 "d" 47
"947" 3766 "i" 60
"948" 6069 "e" 52
"949" 6852 "e" 53
"950" 8252 "e" 51
"951" 9201 "g" 52
"952" 848 "x" 47
"953" 1610 "f" 43
"954" 5811 "e" 51
"955" 7909 "o" 44
"956" 5358 "s" 46
"957" 2374 "t" 48
"958" 7992 "u" 54
"959" 1698 "a" 52
"960" 4420 "e" 54
"961" 89 "s" 49
"962" 3258 "c" 56
"963" 3997 "d" 47
"964" 1137 "q" 59
"965" 9257 "w" 57
"966" 2733 "d" 45
"967" 2165 "m" 54
"968" 3240 "u" 54
"969" 8065 "x" 50
"970" 9534 "v" 52
"971" 6614 "l" 47
"972" 8964 "w" 59
"973" 4874 "m" 57
"974" 9324 "e" 51
"975" 8708 "i" 58
"976" 1339 "n" 59
"977" 601 "a" 53
"978" 219 "u" 51
"979" 5526 "b" 45
"980" 6285 "o" 46
"981" 7227 "e" 52
"982" 1243 "e" 53
"983" 1441 "s" 46
"984" 8917 "g" 53
"985" 3595 "v" 51
"986" 1695 "m" 56
"987" 4307 "a" 51
"988" 4906 "o" 46
"989" 9364 "l" 47
"990" 9011 "q" 58
"991" 4756 "o" 46
"992" 1205 "l" 44
"993" 3951 "a" 53
"994" 5592 "e" 52
"995" 1828 "r" 51
"996" 1209 "b" 45
"997" 6995 "k" 50
"998" 5726 "p" 52
"999" 2540 "j" 51
"1000" 1722 "c" 56
"1001" 2390 "d" 46
"1002" 9697 "i" 61
"1003" 6163 "u" 55
"1004" 3449 "w" 58
"1005" 8592 "u" 55
"1006" 1065 "d" 46
"1007" 352 "q" 59
"1008" 4538 "w" 57
"1009" 5202 "r" 51
"1010" 7547 "s" 48
"1011" 5884 "t" 48
"1012" 8491 "i" 61
"1013" 4599 "g" 55
"1014" 764 "g" 54
"1015" 9077 "j" 49
"1016" 3607 "k" 52
"1017" 8047 "d" 46
"1018" 7877 "d" 48
"1019" 2664 "d" 48
"1020" 1191 "s" 48
"1021" 2388 "e" 52
"1022" 52 "b" 46
"1023" 7359 "n" 58
"1024" 1568 "m" 57
"1025" 7568 "p" 52
"1026" 1497 "m" 57
"1027" 6857 "l" 47
"1028" 4657 "w" 57
"1029" 2447 "e" 52
"1030" 3079 "g" 52
"1031" 9599 "q" 57
"1032" 9345 "s" 49
"1033" 9536 "n" 58
"1034" 9784 "k" 51
"1035" 8678 "i" 58
"1036" 9804 "a" 54
"1037" 1760 "o" 46
"1038" 3202 "p" 53
"1039" 4598 "o" 46
"1040" 7913 "l" 45
"1041" 9689 "k" 51
"1042" 2065 "s" 48
"1043" 1461 "t" 47
"1044" 5503 "x" 49
"1045" 4493 "s" 47
"1046" 1685 "x" 48
"1047" 3651 "o" 45
"1048" 5215 "o" 46
"1049" 2766 "o" 44
"1050" 4306 "q" 58
"1051" 8408 "t" 47
"1052" 413 "j" 49
"1053" 4786 "a" 53
"1054" 3961 "x" 47
"1055" 8109 "a" 52
"1056" 7881 "r" 51
"1057" 8958 "o" 47
"1058" 6727 "o" 45
"1059" 3604 "a" 52
"1060" 4980 "w" 57
"1061" 717 "d" 46
"1062" 1043 "h" 43
"1063" 8270 "b" 46
"1064" 7855 "a" 49
"1065" 1459 "u" 53
"1066" 9202 "l" 47
"1067" 8307 "g" 55
"1068" 2910 "n" 59
"1069" 1437 "x" 49
"1070" 8482 "m" 57
"1071" 4129 "q" 58
"1072" 1972 "c" 58
"1073" 9669 "m" 56
"1074" 5528 "a" 52
"1075" 3593 "x" 48
"1076" 8033 "s" 49
