"county" "white" "amerind" "hispanic" "stratum" "cars"
"186" 14 49 2 3 1 "26"
"187" 14 2469 35 271 1 "1273"
"188" 14 6 25 0 1 "14"
"189" 14 70 0 5 1 "34"
"190" 14 510 20 41 1 "279"
"191" 14 64 0 8 1 "30"
"192" 14 1377 45 444 1 "778"
"193" 14 191 6 15 1 "101"
"194" 14 112 1 50 1 "61"
"195" 14 24 0 4 1 "NA"
"196" 14 254 11 14 1 "132"
"197" 14 46 3 4 1 "25"
"198" 14 88 7 4 1 "48"
"199" 14 2582 34 216 1 "NA"
"200" 14 532 1 29 1 "264"
"201" 15 5836 189 11341 3 "6169"
"202" 15 152849 3454 80170 3 "113944"
"203" 15 3804 13 332 3 "1994"
"204" 15 1664 41 99 3 "863"
"205" 15 1722 58 183 3 "963"
"206" 15 434 21 866 3 "581"
"207" 15 5718 131 1422 3 "4064"
"208" 15 1576 14 165 3 "840"
"209" 15 10157 352 26584 3 "19224"
"210" 15 350 4 29 3 "170"
"211" 15 498 20 60 3 "272"
"212" 15 4296 49 690 3 "2676"
"213" 15 136 3 22 3 "71"
"214" 15 2827 64 771 3 "1662"
"215" 15 2055 34 292 3 "1144"
"216" 15 6188 63 1228 3 "NA"
"217" 15 863 48 64 3 "451"
"218" 15 161 2 10 3 "NA"
"219" 15 277 10 37 3 "NA"
"220" 15 1572 36 142 3 "819"
"221" 15 2998 63 224 3 "1602"
"222" 15 727 18 88 3 "389"
"223" 15 5917 204 11814 3 "6031"
"224" 15 1019 16 256 3 "616"
"225" 15 361 30 1875 3 "889"
"226" 15 954 22 150 3 "529"
"227" 15 2740 157 8239 3 "4571"
"228" 15 155 0 16 3 "76"
"229" 15 74 0 133 3 "77"
"230" 15 2591 51 1086 3 "1795"
"231" 15 681 2 27 3 "327"
"232" 15 1055 33 91 3 "578"
"233" 15 24814 611 2828 3 "NA"
"234" 15 445 9 22 3 "227"
"235" 15 1452 19 146 3 "778"
"236" 15 66 4 4 3 "35"
"237" 15 20446 270 3001 3 "11664"
"238" 15 10333 189 3684 3 "6755"
"239" 15 7514 103 929 3 "4016"
"240" 15 5670 159 8667 3 "5898"
"241" 15 1502 37 487 3 "900"
"242" 15 464 4 27 3 "236"
"243" 15 1373 15 168 3 "715"
"244" 15 5322 54 995 3 "3001"
"245" 15 1645 27 245 3 "904"
"246" 15 6264 148 3583 3 "5224"
"247" 15 211 2 14 3 "111"
"248" 15 460 9 38 3 "239"
"249" 15 7366 217 14187 3 "9731"
"250" 15 1319 102 2431 3 "NA"
"251" 15 2180 94 149 3 "NA"
"252" 15 2123 28 142 3 "1064"
"253" 16 1822 78 1574 2 "1473"
"254" 16 5259 139 9667 2 "NA"
"255" 16 4927 206 8618 2 "6519"
"256" 16 26704 569 16116 2 "18671"
"257" 16 570 41 939 2 "786"
"258" 16 399 28 1390 2 "693"
"259" 16 11687 313 6013 2 "9348"
"260" 16 3546 75 968 2 "2619"
"261" 16 423 25 960 2 "592"
"262" 17 10823 354 1449 1 "6839"
"263" 17 2162 41 144 1 "NA"
"264" 17 1527 25 75 1 "867"
"265" 17 3506 39 255 1 "1964"
"266" 17 2254 78 842 1 "1513"
"267" 17 4276 96 552 1 "NA"
"268" 17 1482 36 194 1 "NA"
"269" 17 2522 90 245 1 "1553"
"270" 17 854 19 233 1 "546"
"271" 17 2190 123 217 1 "1311"
"272" 17 2555 60 380 1 "NA"
"273" 17 850 43 147 1 "522"
"276" 19 2130 11 263 4 "NA"
"277" 19 17858 51 1407 4 "11209"
"278" 19 25758 614 30453 4 "45916"
"279" 19 3584 70 3526 4 "NA"
"280" 19 20156 247 8690 4 "NA"
"281" 19 24180 132 5629 4 "28875"
"282" 19 7236 127 6272 4 "8871"
"283" 19 2240 32 1437 4 "1664"
"284" 19 7790 176 11776 4 "8144"
"285" 19 23406 585 28522 4 "24647"
"286" 19 30472 1096 59660 4 "41252"
"287" 19 17764 470 33328 4 "19935"
"288" 19 21180 730 41132 4 "23864"
"289" 19 33593 667 31503 4 "40635"
"290" 19 28736 43 1565 4 "18370"
"291" 19 603 2 119 4 "467"
"292" 19 72409 549 24953 4 "54678"
"293" 19 17412 27 949 4 "10696"
"294" 19 23049 505 31332 4 "48715"
"295" 19 13851 142 5349 4 "28650"
"296" 19 5895 115 3302 4 "4948"
"297" 19 5542 163 6861 4 "5598"
"298" 19 24983 189 5221 4 "NA"
"299" 19 5625 199 11765 4 "6902"
"300" 19 15625 656 53143 4 "50750"
"301" 19 29084 420 18871 4 "25826"
"302" 19 10443 310 22790 4 "13117"
"303" 19 22996 277 9199 4 "20691"
"304" 19 5675 58 3751 4 "4964"
"305" 19 1475 35 860 4 "1276"
"306" 19 23103 185 10393 4 "NA"
"307" 19 57395 929 62089 4 "NA"
"308" 19 11178 201 9326 4 "11722"
"309" 19 2293 65 7164 4 "4896"
"310" 19 7181 73 3640 4 "5196"
"311" 19 48788 1603 120307 4 "65521"
"312" 19 3367 48 2130 4 "3254"
"313" 19 6175 92 3413 4 "8027"
"314" 19 41360 1596 83945 4 "NA"
"315" 19 13405 75 1765 4 "8732"
"316" 19 14778 590 51712 4 "32355"
"317" 19 13755 367 18372 4 "31215"
"318" 19 123960 629 38452 4 "NA"
"319" 19 39681 321 10740 4 "27086"
"320" 19 21797 380 20320 4 "29563"
"321" 19 5651 189 10869 4 "7866"
"322" 19 24618 629 37227 4 "44989"
"323" 19 16632 74 1253 4 "9952"
"324" 19 1762 6 125 4 "1017"
"325" 19 25412 620 58636 4 "32732"
"326" 19 426 21 468 4 "NA"
"327" 19 21505 773 51829 4 "NA"
"328" 19 680 27 1277 4 "795"
"329" 19 15142 36 976 4 "NA"
"330" 19 13516 67 1837 4 "10243"
"331" 19 4136 19 779 4 "3257"
"332" 19 30155 350 15657 4 "25345"
"333" 19 16060 524 34122 4 "NA"
"334" 19 24379 203 7315 4 "18231"
"335" 19 1318 18 222 4 "NA"
"336" 19 7030 172 3869 4 "6256"
"337" 19 49724 473 18071 4 "NA"
"338" 19 74573 1213 28644 4 "63882"
"339" 19 13394 313 16515 4 "NA"
"340" 19 7275 234 20602 4 "12114"
"341" 19 1005 15 557 4 "NA"
"342" 19 13263 141 5252 4 "10960"
"343" 19 208410 3881 165092 4 "NA"
"344" 19 1734036 29412 1719073 4 "NA"
"345" 19 23481 839 57503 4 "36695"
"346" 19 11558 27 689 4 "6918"
"347" 19 30124 70 1756 4 "18556"
"348" 19 6742 13 437 4 "4576"
"349" 19 3373 35 1352 4 "2668"
"350" 19 12073 320 27051 4 "NA"
"351" 19 23237 323 13012 4 "20720"
"352" 19 29098 767 46347 4 "33855"
"353" 19 12786 391 17359 4 "33473"
"354" 19 2213 10 936 4 "2034"
"355" 19 46303 1201 64965 4 "NA"
"356" 19 63905 1198 43991 4 "64485"
"357" 19 10448 18 378 4 "NA"
"358" 19 19177 586 39945 4 "29853"
"359" 19 71469 952 44734 4 "73615"
"360" 19 31360 859 56000 4 "NA"
"361" 19 62419 1883 96370 4 "82396"
"362" 19 8057 112 1511 4 "5395"
"363" 19 27660 62 2339 4 "22834"
"364" 19 49735 295 8524 4 "NA"
"365" 19 1493 0 85 4 "996"
"366" 19 5673 25 366 4 "NA"
"367" 19 14217 456 22097 4 "28996"
"368" 19 14206 221 13748 4 "26572"
"369" 19 26116 243 8163 4 "18881"
"370" 19 10076 399 21038 4 "NA"
"371" 19 13294 331 12223 4 "22457"
"372" 19 6177 6 571 4 "NA"
"373" 19 120157 886 30968 4 "83009"
"374" 19 8932 250 12447 4 "9353"
"375" 19 65832 396 11304 4 "45176"
"376" 19 9077 37 1054 4 "5558"
"377" 19 4245 55 2707 4 "NA"
"378" 19 8586 332 18190 4 "11564"
"379" 19 40136 901 88669 4 "51011"
"380" 19 14653 83 3903 4 "13675"
"381" 19 2333 89 3491 4 "NA"
"382" 19 7837 312 16868 4 "NA"
"383" 19 28958 678 38256 4 "NA"
"384" 19 16266 148 6836 4 "18928"
"385" 19 81605 560 17637 4 "77185"
"386" 19 824 10 760 4 "819"
"387" 19 8813 258 16271 4 "12009"
"388" 19 43 0 81 4 "50"
"389" 19 588 19 297 4 "NA"
"390" 19 7811 192 9724 4 "7979"
"391" 19 8513 72 5803 4 "15642"
"392" 19 7461 145 15496 4 "NA"
"393" 19 1174 53 3577 4 "4785"
"394" 19 8876 139 6223 4 "11281"
"395" 19 551 34 1837 4 "2994"
"396" 19 46086 823 48051 4 "56189"
"397" 19 30868 129 3142 4 "NA"
"398" 19 9906 257 18416 4 "12059"
"399" 19 13334 314 20874 4 "13228"
"400" 19 7506 11 386 4 "4616"
"401" 19 3718 189 12499 4 "16714"
"402" 19 52876 1105 46765 4 "45364"
"403" 19 5482 245 18297 4 "18754"
"404" 20 6236 87 1376 2 "2834"
"405" 20 7061 289 3138 2 "4397"
"406" 20 4657 168 3939 2 "2776"
"407" 20 20804 1207 29274 2 "16656"
"408" 20 2513 84 285 2 "1063"
"409" 20 863 85 2198 2 "1006"
"410" 20 946 42 1382 2 "828"
"411" 20 3877 41 330 2 "NA"
"412" 21 2060 1 46 2 "1029"
"413" 21 1049 3 50 2 "545"
"414" 21 1128 4 63 2 "589"
"415" 21 7977 29 436 2 "4474"
"416" 21 300 1 3 2 "152"
"417" 21 6689 35 418 2 "3480"
"418" 21 1344 6 81 2 "689"
"419" 21 6004 11 141 2 "3091"
"420" 21 1626 17 102 2 "NA"
"421" 21 10963 26 515 2 "5875"
"422" 21 5646 14 267 2 "NA"
"423" 21 12435 34 472 2 "6374"
"424" 21 274 0 6 2 "NA"
"425" 21 39414 246 6229 2 "22678"
"426" 21 753 1 76 2 "393"
"427" 21 2238 2 54 2 "1096"
"428" 21 11341 50 513 2 "NA"
"429" 21 406 3 11 2 "211"
"430" 21 42472 312 13070 2 "26830"
"431" 21 3510 30 518 2 "NA"
"432" 21 6718 21 244 2 "3390"
"433" 21 720 2 27 2 "361"
"434" 21 4431 12 253 2 "2577"
"435" 21 9626 22 409 2 "4999"
"436" 21 7879 19 317 2 "4116"
"437" 21 203 2 5 2 "NA"
"438" 21 1315 5 60 2 "659"
"442" 23 590 473 95 1 "612"
"443" 23 5583 130 1596 1 "3566"
"444" 23 978 200 108 1 "NA"
"445" 23 787 3 23 1 "427"
"446" 23 349 18 135 1 "251"
"447" 23 655 28 310 1 "566"
"448" 23 12325 587 2993 1 "7986"
"449" 23 4247 179 745 1 "2624"
"450" 24 13252 293 9594 2 "13422"
"451" 24 4279 80 4448 2 "4862"
"452" 24 2985 63 2482 2 "2716"
"453" 24 3395 46 1648 2 "2702"
"454" 24 3746 16 595 2 "2760"
"455" 24 876 27 1387 2 "1038"
"456" 24 3825 97 7521 2 "6184"
"457" 24 15161 350 13048 2 "NA"
"458" 24 33481 818 26425 2 "36698"
"459" 24 1061 79 4024 2 "2559"
"460" 24 634 27 1027 2 "803"
"461" 24 3911 95 5493 2 "NA"
"464" 27 425 30 961 3 "793"
"465" 27 89 1 28 3 "72"
"466" 27 4345 18 273 3 "2861"
"467" 27 3860 13 120 3 "2474"
"468" 27 2458 70 5802 3 "NA"
"469" 27 223 8 1351 3 "901"
"470" 27 4140 12 106 3 "NA"
"471" 27 1425 14 109 3 "1026"
"472" 27 1148 10 444 3 "953"
"473" 27 2617 106 6474 3 "4561"
"474" 27 4989 150 11055 3 "7481"
"475" 27 4669 116 8922 3 "6911"
"476" 27 1504 43 2583 3 "1843"
"477" 27 10979 186 5822 3 "15646"
"478" 27 23985 170 3222 3 "17765"
"479" 27 178 2 85 3 "182"
"480" 27 13665 86 1108 3 "9000"
"481" 27 1453 56 3189 3 "2051"
"482" 27 12648 170 3781 3 "10003"
"483" 27 68218 1903 96880 3 "NA"
"484" 27 240 12 329 3 "303"
"485" 27 162 5 361 3 "254"
"486" 27 186 8 72 3 "154"
"487" 27 15599 331 10929 3 "19574"
"488" 27 3593 195 9779 3 "NA"
"489" 27 419 8 134 3 "294"
"490" 28 5786 80 1731 2 "NA"
"491" 28 2379 15 404 2 "1340"
"492" 28 3978 51 1978 2 "2275"
"493" 28 1282 11 135 2 "NA"
"494" 28 58302 657 19475 2 "32357"
"495" 28 4900 27 1691 2 "2524"
"496" 28 2687 17 281 2 "1223"
"497" 29 6257 37 270 1 "2447"
"498" 29 10038 146 717 1 "NA"
"499" 29 3816 24 126 1 "1458"
"500" 29 4699 19 111 1 "1833"
"501" 29 2829 41 104 1 "1130"
"502" 29 1295 8 62 1 "516"
"503" 29 12254 82 1773 1 "5239"
"504" 30 31395 158 4680 4 "20574"
"505" 30 179627 3041 153374 4 "168274"
"506" 30 27384 184 7205 4 "18212"
"507" 30 41479 750 26221 4 "NA"
"508" 30 75542 845 34523 4 "54722"
"509" 30 11668 19 868 4 "6532"
"510" 30 30332 274 7235 4 "22763"
"511" 30 30633 201 5440 4 "17636"
"512" 30 8107 32 1183 4 "5399"
"513" 30 35196 252 5870 4 "NA"
"514" 30 77977 865 38014 4 "63340"
"515" 30 77443 1260 53608 4 "82449"
"516" 30 150194 1224 27798 4 "NA"
"517" 30 87354 257 10539 4 "72291"
"518" 30 37153 564 28922 4 "29410"
"519" 30 6632 48 1736 4 "7582"
"520" 30 21826 86 1570 4 "11640"
"521" 30 23954 138 5113 4 "16078"
"522" 30 51682 180 6425 4 "30816"
"523" 30 15866 20 340 4 "8205"
"524" 30 44629 295 10913 4 "29457"
"525" 30 4397 26 668 4 "NA"
"526" 30 8879 67 1848 4 "5771"
"527" 30 77418 348 11266 4 "46695"
"528" 30 64583 179 3301 4 "34921"
"529" 30 2085 4 112 4 "1319"
"530" 30 90822 1010 41434 4 "65933"
"531" 30 31500 386 14460 4 "23411"
"532" 30 5407 19 641 4 "3133"
"533" 30 38523 199 6139 4 "24208"
"534" 30 9153 35 687 4 "NA"
"535" 30 43905 307 7933 4 "25001"
"536" 30 2544 2 98 4 "NA"
"537" 30 26543 363 11206 4 "16754"
"538" 30 144425 4013 257097 4 "171540"
"539" 30 21477 73 1554 4 "11828"
"540" 30 18541 397 18285 4 "19445"
"541" 30 39639 448 23110 4 "34315"
"542" 30 20869 87 2037 4 "NA"
"543" 30 4943 26 354 4 "3066"
"544" 30 40392 535 19138 4 "43027"
"545" 30 48015 220 6044 4 "30116"
"546" 31 11641 104 744 2 "5993"
"547" 31 1394 9 124 2 "NA"
"548" 31 1478 7 40 2 "750"
"549" 31 1618 48 103 2 "NA"
"550" 31 17720 113 910 2 "9359"
"551" 31 2827 76 1955 2 "1900"
"552" 31 8924 141 2911 2 "5516"
"553" 31 5575 60 430 2 "2872"
"554" 31 2980 25 112 2 "1417"
"555" 31 10632 139 1091 2 "5491"
"556" 31 32086 291 2874 2 "17639"
"557" 31 68756 559 9225 2 "37191"
"558" 31 1679 7 64 2 "NA"
"559" 31 1449 8 297 2 "796"
"560" 32 321 7 10 1 "151"
"561" 32 26 0 0 1 "11"
"562" 32 45 0 2 1 "23"
"563" 32 17 0 0 1 "8"
"564" 32 33 4 0 1 "NA"
"565" 32 2145 49 140 1 "NA"
"566" 32 368 2 20 1 "170"
"567" 32 89 0 3 1 "40"
"568" 32 219 16 30 1 "NA"
"569" 32 143 1 2 1 "NA"
"570" 32 256 8 8 1 "126"
"571" 32 580 30 109 1 "309"
"572" 32 2193 37 78 1 "1047"
"573" 32 163 8 11 1 "79"
"574" 32 814 4 18 1 "359"
"575" 32 138 1 7 1 "66"
"576" 32 975 108 108 1 "524"
"577" 32 571 1 28 1 "NA"
"578" 32 36 0 0 1 "17"
"579" 32 298 2 18 1 "141"
"580" 32 17 0 3 1 "NA"
"581" 32 83 1 7 1 "44"
"582" 32 41 1 0 1 "19"
"583" 32 818 13 9 1 "385"
"584" 32 322 7 19 1 "155"
"585" 32 325 0 6 1 "147"
"586" 32 22 0 2 1 "NA"
"587" 32 542 18 24 1 "253"
"588" 32 119 2 1 1 "54"
"589" 32 20 1 2 1 "9"
"590" 32 317 0 4 1 "NA"
"591" 32 1920 59 263 1 "992"
"592" 32 28 0 0 1 "12"
"593" 32 1708 42 90 1 "837"
"594" 32 55 0 2 1 "NA"
"595" 32 5 0 0 1 "2"
"596" 32 142 1 3 1 "72"
"597" 32 8 0 3 1 "5"
"598" 32 84 0 2 1 "39"
"599" 32 92 0 2 1 "NA"
"600" 32 95 0 0 1 "43"
"601" 33 15124 593 7119 4 "10863"
"602" 33 7751 265 4122 4 "5288"
"603" 33 5245 38 1215 4 "2783"
"604" 33 6735 174 5571 4 "5534"
"605" 33 1580 94 675 4 "990"
"606" 33 6363 47 1008 4 "NA"
"607" 33 9248 35 848 4 "4595"
"608" 33 27845 440 21312 4 "18859"
"609" 33 5308 70 788 4 "2750"
"610" 33 8810 191 22132 4 "10645"
"611" 33 77514 1086 44569 4 "57055"
"612" 33 11306 238 6699 4 "7617"
"613" 33 3 0 0 4 "1"
"614" 33 11864 210 3692 4 "6683"
"615" 33 3260 42 1708 4 "2053"
"616" 33 9029 228 7006 4 "6612"
"617" 33 47335 708 13585 4 "26284"
"618" 33 1861 39 1952 4 "1549"
"619" 33 4533 125 6293 4 "4356"
"620" 33 2966 40 1102 4 "NA"
"621" 33 3209 35 286 4 "1591"
"622" 33 3676 8 113 4 "1749"
"623" 33 23903 510 37028 4 "21797"
"624" 33 18602 171 7584 4 "11157"
"625" 33 18981 374 11007 4 "13589"
"626" 33 4445 92 1743 4 "2468"
"627" 33 1093 44 708 4 "732"
"628" 33 239 2 44 4 "168"
"629" 33 1302 55 5295 4 "2476"
"630" 33 11281 229 8513 4 "7838"
"631" 33 66689 1343 54689 4 "NA"
"632" 33 36152 293 7739 4 "20569"
"633" 33 2708 19 239 4 "1375"
"634" 33 19915 182 5504 4 "11087"
"635" 33 3125 40 1215 4 "1902"
"636" 33 35739 187 7031 4 "18528"
"637" 33 33531 401 10155 4 "19359"
"638" 33 7492 105 3840 4 "5248"
"639" 33 14909 529 20322 4 "16550"
"640" 33 1141 35 772 4 "737"
"641" 33 12280 26 1251 4 "6267"
"642" 33 151377 2779 97315 4 "115034"
"643" 33 1494 48 1530 4 "1293"
"644" 33 15107 416 15843 4 "NA"
"645" 33 16488 556 9583 4 "10949"
"646" 33 2274 61 1118 4 "1396"
"647" 33 15930 91 2187 4 "8274"
"648" 33 2560 70 2356 4 "NA"
"649" 33 45555 497 10974 4 "25787"
"650" 33 3828 47 2231 4 "2326"
"651" 33 9288 134 1539 4 "4806"
"652" 33 11540 126 3035 4 "6437"
"653" 33 1682 33 677 4 "978"
"654" 33 6760 102 1390 4 "3785"
"655" 34 74285 920 11501 4 "NA"
"656" 34 43083 412 3479 4 "21311"
"657" 34 72001 860 8539 4 "35147"
"658" 34 35464 562 8398 4 "26099"
"659" 34 24659 165 1767 4 "12427"
"660" 34 11502 346 5760 4 "12302"
"661" 34 40415 302 4914 4 "22421"
"662" 34 12162 231 2523 4 "NA"
"663" 34 13726 204 6465 4 "8766"
"664" 34 6357 21 327 4 "3439"
"665" 34 576 12 223 4 "359"
"666" 34 7444 65 1165 4 "NA"
"667" 34 20275 228 4984 4 "14705"
"668" 34 4580 27 1111 4 "NA"
"669" 34 30006 616 6695 4 "19474"
"670" 34 23906 277 1816 4 "11425"
"671" 34 13895 562 12402 4 "NA"
"672" 34 36704 521 7100 4 "23294"
"673" 34 3817 15 194 4 "1740"
"674" 34 8691 153 1162 4 "4618"
"675" 34 14771 259 3023 4 "NA"
"676" 34 196549 5300 87974 4 "175304"
"677" 34 6677 68 1243 4 "4345"
"678" 34 333 21 313 4 "298"
"679" 34 3878 55 440 4 "NA"
"683" 36 9147 292 8299 4 "11114"
"684" 36 41449 530 10067 4 "NA"
"685" 36 12059 510 7708 4 "12617"
"686" 36 5148 75 747 4 "3540"
"687" 36 4958 53 745 4 "3338"
"688" 36 1075 32 122 4 "786"
"689" 36 10437 346 12436 4 "12101"
"690" 36 260 1 4 4 "160"
"691" 36 37412 628 31830 4 "41541"
"692" 36 37656 375 17151 4 "41386"
"693" 36 20343 600 28934 4 "29885"
"694" 36 8996 115 1069 4 "6277"
"695" 36 58006 1450 74424 4 "80795"
"696" 36 8575 84 2954 4 "NA"
"697" 36 46485 796 18400 4 "38315"
"698" 36 25089 581 16342 4 "NA"
"699" 36 3634 66 520 4 "2600"
"700" 36 8083 79 1211 4 "5530"
"701" 36 2153 72 1201 4 "2015"
"702" 36 10121 92 3050 4 "11439"
"703" 36 5811 86 1956 4 "4782"
"704" 36 14796 319 19823 4 "NA"
"705" 36 1772 27 180 4 "NA"
"706" 36 1614 32 868 4 "1600"
"707" 36 3809 188 5912 4 "5573"
"708" 36 711 15 248 4 "734"
"709" 36 3761 338 887 4 "NA"
"710" 36 75575 1682 94610 4 "96301"
"711" 36 84987 855 35491 4 "76708"
"712" 36 46858 597 15304 4 "NA"
"713" 36 36168 965 47050 4 "NA"
